atom1,atom2,bond_length,force_constant
SC1,SC1,0.37093,5000
SC1,SN3a,0.39485,5000
SN3a,SC1,0.39485,5000
SC1,SN4,0.40851,8000
SN4,SC1,0.40851,8000
SC1,TN6d,0.33695,8000
TN6d,SC1,0.33695,8000
SC1,TP1,0.32852,10000
TP1,SC1,0.32852,10000
SC1,SP2,0.32961,8000
SP2,SC1,0.32961,8000
SN3a,SN3a,0.31316,15000
SN3a,SN4,0.34501,5000
SN4,SN3a,0.34501,5000
SN3a,TN6d,0.35265,15000
TN6d,SN3a,0.35265,15000
SN3a,SP2,0.35194,15000
SP2,SN3a,0.35194,15000
SN4,SN4,0.36213,3000
SN4,SP2,0.34204,10000
SP2,SN4,0.34204,10000
TN6d,SN4,0.33857,10000
SN4,TN6d,0.33857,10000
TP1,SN3a,0.33126,15000
SN3a,TP1,0.33126,15000
TP1,SN4,0.32090,10000
SN4,TP1,0.32090,10000
TC4,SC1,0.29439,8000
SC1,TC4,0.29439,8000
TC4,SN3a,0.30816,15000
SN3a,TC4,0.30816,15000
TC4,SN4,0.29781,10000
SN4,TC4,0.29781,10000
TC4,TN6d,0.23636,15000
TN6d,TC4,0.23636,15000
TC4,TP1,0.23477,15000
TP1,TC4,0.23477,15000
TC4,TC4,0.25783,15000
TC4,TC6,0.28000,10000
TC6,TC4,0.28000,10000
TC4,N5a,0.30323,15000
N5a,TC4,0.30323,15000
TC4,SP2,0.29404,15000
SP2,TC4,0.29404,15000
TC6,SC1,0.32931,8000
SC1,TC6,0.32931,8000
TC6,SN3a,0.35884,15000
SN3a,TC6,0.35884,15000
TC6,SN4,0.32189,8000
SN4,TC6,0.32189,8000
TC6,N5a,0.30377,10000
N5a,TC6,0.30377,10000
N5a,SC1,0.34040,6000
SC1,N5a,0.34040,6000
N5a,SN3a,0.38684,15000
SN3a,N5a,0.38684,15000
N5a,SN4,0.37291,10000
SN4,N5a,0.37291,10000
N5a,TN6d,0.32228,15000
TN6d,N5a,0.32228,15000
N5a,TP1,0.27795,15000
TP1,N5a,0.27795,15000
N5a,SP2,0.33293,8000
SP2,N5a,0.33293,8000
N5a,N5a,0.33102,6000
TC1,SC1,0.30039,8000
SC1,TC1,0.30039,8000
TC1,TC4,0.24793,15000
TC4,TC1,0.24793,15000
TC1,TP1,0.23049,15000
TP1,TC1,0.23049,15000
TC1,TC6,0.28998,10000
TC6,TC1,0.28998,10000
TC1,N5a,0.29592,10000
N5a,TC1,0.29592,10000
TC1,TN6d,0.23891,10000
TN6d,TC1,0.23891,10000
TC1,SN4,0.30386,10000
SN4,TC1,0.30386,10000
TC1,SN3a,0.32411,15000
SN3a,TC1,0.32411,15000
TC1,SP2,0.24468,15000
SP2,TC1,0.24468,15000
TC1,TQ4p,0.23891,10000
TQ4p,TC1,0.23891,10000
TC1,SQ3p,0.30386,10000
SQ3p,TC1,0.30386,10000
TC1,SQ2p,0.32411,15000
SQ2p,TC1,0.32411,15000
TC1,SQ5n,0.24468,15000
SQ5n,TC1,0.24468,15000
TQ4p,SC1,0.30377,8000
SC1,TQ4p,0.30377,8000
TQ4p,SN3a,0.32576,15000
SN3a,TQ4p,0.32576,15000
TQ4p,SN4,0.33857,10000
SN4,TQ4p,0.33857,10000
TQ4p,TC4,0.23636,15000
TC4,TQ4p,0.23636,15000
TQ4p,N5a,0.32228,15000
N5a,TQ4p,0.32228,15000
TQ4p,SQ3p,0.32228,15000
SQ3p,TQ4p,0.32228,15000
TQ4p,SQ2p,0.35265,15000
SQ2p,TQ4p,0.35265,15000
SQ3p,SN3a,0.34501,5000
SN3a,SQ3p,0.34501,5000
SQ3p,SN4,0.36213,3000
SN4,SQ3p,0.36213,3000
SQ3p,TN6d,0.32228,15000
TN6d,SQ3p,0.32228,15000
SQ3p,TP1,0.32090,10000
TP1,SQ3p,0.32090,10000
SQ3p,TC4,0.29781,10000
TC4,SQ3p,0.29781,10000
SQ3p,TC6,0.32189,8000
TC6,SQ3p,0.32189,8000
SQ3p,N5a,0.37291,10000
N5a,SQ3p,0.37291,10000
SQ3p,SQ3p,0.36213,3000
SQ3p,SQ2p,0.34501,5000
SQ2p,SQ3p,0.34501,5000
SQ2p,SC1,0.39485,5000
SC1,SQ2p,0.39485,5000
SC1,SQ3p,0.39485,5000
SQ2p,SN3a,0.31316,15000
SN3a,SQ2p,0.31316,15000
SQ2p,SN4,0.34501,5000
SN4,SQ2p,0.34501,5000
SQ2p,TN6d,0.35265,15000
TN6d,SQ2p,0.35265,15000
SQ2p,TP1,0.33126,15000
TP1,SQ2p,0.33126,15000
SQ2p,TC4,0.30816,15000
TC4,SQ2p,0.30816,15000
SQ2p,TC6,0.35884,15000
TC6,SQ2p,0.35884,15000
SQ2p,N5a,0.38684,15000
N5a,SQ2p,0.38684,15000
SQ2p,SQ2p,0.31316,15000
SQ5n,SC1,0.32961,8000
SC1,SQ5n,0.32961,8000
SQ5n,SN3a,0.35194,15000
SN3a,SQ5n,0.35194,15000
SQ5n,TC4,0.29404,15000
TC4,SQ5n,0.29404,15000
SQ5n,N5a,0.33293,8000
N5a,SQ5n,0.33293,8000
SQ5n,SN4,0.34204,10000
SN4,SQ5n,0.34204,10000